"","month","concentration","year","contaminant"
"445","Jan37",0.952516129032258,2021,"CO"
"446","Feb37",0.745428571428571,2021,"CO"
"447","Mar37",0.623483870967742,2021,"CO"
"448","Apr37",0.662066666666667,2021,"CO"
"449","May37",0.678,2021,"CO"
"450","June37",0.5011,2021,"CO"
"451","July37",0.557645161290323,2021,"CO"
"452","Aug37",0.70458064516129,2021,"CO"
"453","Sep37",0.794433333333333,2021,"CO"
"454","Oct37",0.809064516129032,2021,"CO"
"455","Nov37",0.998533333333333,2021,"CO"
"456","Dec37",0.954096774193548,2021,"CO"
"457","Jan38",1.04045161290323,2022,"CO"
"458","Feb38",0.909,2022,"CO"
"459","Mar38",0.643387096774194,2022,"CO"
"460","Apr38",0.603266666666667,2022,"CO"
"461","May38",0.570838709677419,2022,"CO"
"462","June38",0.529966666666667,2022,"CO"
"463","July38",0.567548387096774,2022,"CO"
"464","Aug38",0.654903225806452,2022,"CO"
"465","Sep38",0.730866666666667,2022,"CO"
"466","Oct38",0.618258064516129,2022,"CO"
"467","Nov38",0.667941176470588,2022,"CO"
"468","Dec38",NA,2022,"CO"
"469","Jan39",0.0377096774193548,2010,"NO2"
"470","Feb39",0.0328928571428571,2010,"NO2"
"471","Mar39",0.0301612903225806,2010,"NO2"
"472","Apr39",0.0246666666666667,2010,"NO2"
"473","May39",0.0239354838709677,2010,"NO2"
"474","June39",0.0260333333333333,2010,"NO2"
"475","July39",0.0275483870967742,2010,"NO2"
"476","Aug39",0.0331935483870968,2010,"NO2"
"477","Sep39",0.0352666666666667,2010,"NO2"
"478","Oct39",0.0297096774193548,2010,"NO2"
"479","Nov39",0.0342666666666667,2010,"NO2"
"480","Dec39",0.0343225806451613,2010,"NO2"
"481","Jan40",0.0400322580645161,2011,"NO2"
"482","Feb40",0.0310357142857143,2011,"NO2"
"483","Mar40",0.0286451612903226,2011,"NO2"
"484","Apr40",0.0223,2011,"NO2"
"485","May40",0.020741935483871,2011,"NO2"
"486","June40",0.0262333333333333,2011,"NO2"
"487","July40",0.0220322580645161,2011,"NO2"
"488","Aug40",0.0284838709677419,2011,"NO2"
"489","Sep40",0.0314,2011,"NO2"
"490","Oct40",0.0333870967741935,2011,"NO2"
"491","Nov40",0.0328666666666667,2011,"NO2"
"492","Dec40",0.0383548387096774,2011,"NO2"
"493","Jan41",0.0416774193548387,2012,"NO2"
"494","Feb41",0.0316896551724138,2012,"NO2"
"495","Mar41",0.0283225806451613,2012,"NO2"
"496","Apr41",0.0237,2012,"NO2"
"497","May41",0.0212903225806452,2012,"NO2"
"498","June41",0.0204,2012,"NO2"
"499","July41",0.0236451612903226,2012,"NO2"
"500","Aug41",0.0258387096774194,2012,"NO2"
"501","Sep41",0.0294333333333333,2012,"NO2"
"502","Oct41",0.0305161290322581,2012,"NO2"
"503","Nov41",0.0412666666666667,2012,"NO2"
"504","Dec41",0.0295806451612903,2012,"NO2"
"505","Jan42",0.0357096774193548,2013,"NO2"
"506","Feb42",0.0311071428571429,2013,"NO2"
"507","Mar42",0.0272903225806452,2013,"NO2"
"508","Apr42",0.0202,2013,"NO2"
"509","May42",0.0190322580645161,2013,"NO2"
"510","June42",0.0207,2013,"NO2"
"511","July42",0.0232258064516129,2013,"NO2"
"512","Aug42",0.0256774193548387,2013,"NO2"
"513","Sep42",0.0256666666666667,2013,"NO2"
"514","Oct42",0.0305483870967742,2013,"NO2"
"515","Nov42",0.0337333333333333,2013,"NO2"
"516","Dec42",0.0382258064516129,2013,"NO2"
"517","Jan43",0.046,2014,"NO2"
"518","Feb43",0.032,2014,"NO2"
"519","Mar43",0.027258064516129,2014,"NO2"
"520","Apr43",0.0289666666666667,2014,"NO2"
"521","May43",0.0259032258064516,2014,"NO2"
"522","June43",0.0231,2014,"NO2"
"523","July43",0.0217096774193548,2014,"NO2"
"524","Aug43",0.0221612903225806,2014,"NO2"
"525","Sep43",0.0255333333333333,2014,"NO2"
"526","Oct43",0.0324838709677419,2014,"NO2"
"527","Nov43",0.0331333333333333,2014,"NO2"
"528","Dec43",0.029258064516129,2014,"NO2"
"529","Jan44",0.0368387096774194,2015,"NO2"
"530","Feb44",0.0360357142857143,2015,"NO2"
"531","Mar44",0.0366451612903226,2015,"NO2"
"532","Apr44",0.0332333333333333,2015,"NO2"
"533","May44",0.026,2015,"NO2"
"534","June44",0.0304,2015,"NO2"
"535","July44",0.0233870967741935,2015,"NO2"
"536","Aug44",0.0334193548387097,2015,"NO2"
"537","Sep44",0.0355333333333333,2015,"NO2"
"538","Oct44",0.0374193548387097,2015,"NO2"
"539","Nov44",0.0395666666666667,2015,"NO2"
"540","Dec44",0.0388387096774194,2015,"NO2"
"541","Jan45",0.0366129032258065,2016,"NO2"
"542","Feb45",0.0441034482758621,2016,"NO2"
"543","Mar45",0.0348064516129032,2016,"NO2"
"544","Apr45",0.0313,2016,"NO2"
"545","May45",0.024741935483871,2016,"NO2"
"546","June45",0.0302,2016,"NO2"
"547","July45",0.028,2016,"NO2"
"548","Aug45",0.0313225806451613,2016,"NO2"
"549","Sep45",0.0401666666666667,2016,"NO2"
"550","Oct45",0.0347096774193548,2016,"NO2"
"551","Nov45",0.0396333333333333,2016,"NO2"
"552","Dec45",0.0345806451612903,2016,"NO2"
"553","Jan46",0.0337741935483871,2017,"NO2"
"554","Feb46",0.0305,2017,"NO2"
"555","Mar46",0.0353225806451613,2017,"NO2"
"556","Apr46",0.0308666666666667,2017,"NO2"
"557","May46",0.0284516129032258,2017,"NO2"
"558","June46",0.0306,2017,"NO2"
"559","July46",0.0286129032258065,2017,"NO2"
"560","Aug46",0.0334516129032258,2017,"NO2"
"561","Sep46",0.0326,2017,"NO2"
"562","Oct46",0.0404516129032258,2017,"NO2"
"563","Nov46",0.0401,2017,"NO2"
"564","Dec46",0.0489677419354839,2017,"NO2"
"565","Jan47",0.0448064516129032,2018,"NO2"
"566","Feb47",0.03825,2018,"NO2"
"567","Mar47",0.0315161290322581,2018,"NO2"
"568","Apr47",0.0309333333333333,2018,"NO2"
"569","May47",0.0260322580645161,2018,"NO2"
